iter	Passed	Remaining
744	4549	1557
745	4554	1550
746	4559	1544
747	4565	1538
748	4570	1531
749	4576	1525
750	4580	1518
751	4585	1512
752	4591	1506
753	4596	1499
754	4601	1493
755	4606	1486
756	4613	1480
757	4619	1474
758	4625	1468
759	4631	1462
760	4637	1456
761	4643	1450
762	4648	1443
763	4653	1437
764	4659	1431
765	4664	1424
766	4668	1418
767	4673	1411
768	4679	1405
769	4684	1399
770	4689	1392
771	4694	1386
772	4700	1380
773	4707	1374
774	4714	1368
775	4720	1362
776	4725	1356
777	4731	1350
778	4736	1343
779	4741	1337
780	4747	1331
781	4752	1325
782	4757	1318
783	4763	1312
784	4769	1306
785	4774	1299
786	4780	1293
787	4785	1287
788	4790	1281
789	4795	1274
790	4801	1268
791	4807	1262
792	4814	1256
793	4820	1250
794	4825	1244
795	4830	1237
796	4836	1231
797	4841	1225
798	4847	1219
799	4852	1213
800	4857	1206
801	4863	1200
802	4868	1194
803	4873	1188
804	4878	1181
805	4883	1175
806	4889	1169
807	4894	1163
808	4901	1157
809	4908	1151
810	4914	1145
811	4920	1139
812	4928	1133
813	4934	1127
814	4940	1121
815	4946	1115
816	4952	1109
817	4959	1103
818	4966	1097
819	4973	1091
820	4979	1085
821	4986	1079
822	4994	1074
823	5001	1068
824	5009	1062
825	5017	1056
826	5024	1051
827	5032	1045
828	5039	1039
829	5046	1033
830	5052	1027
831	5058	1021
832	5064	1015
833	5069	1008
834	5073	1002
835	5079	996
836	5084	990
837	5089	983
838	5095	977
839	5101	971
840	5108	965
841	5114	959
842	5121	953
843	5127	947
844	5133	941
845	5140	935
846	5146	929
847	5153	923
848	5159	917
849	5165	911
850	5172	905
851	5178	899
852	5185	893
853	5191	887
854	5196	881
855	5203	875
856	5210	869
857	5217	863
858	5223	857
859	5229	851
860	5234	845
861	5240	839
862	5247	833
863	5254	827
864	5260	820
865	5266	814
866	5272	808
867	5278	802
868	5284	796
869	5290	790
870	5297	784
871	5303	778
872	5309	772
873	5315	766
874	5322	760
875	5328	754
876	5335	748
877	5341	742
878	5348	736
879	5354	730
880	5360	724
881	5366	717
882	5371	711
883	5378	705
884	5384	699
885	5390	693
886	5397	687
887	5403	681
888	5410	675
889	5416	669
890	5422	663
891	5429	657
892	5435	651
893	5441	645
894	5447	639
895	5453	632
896	5459	626
897	5465	620
898	5476	615
899	5484	609
900	5491	603
901	5498	597
902	5505	591
903	5513	585
904	5521	579
905	5539	574
906	5561	570
907	5571	564
908	5580	558
909	5589	552
910	5599	547
911	5607	541
912	5614	534
913	5620	528
914	5626	522
915	5632	516
916	5638	510
917	5644	504
918	5650	498
919	5656	491
920	5662	485
921	5669	479
922	5675	473
923	5681	467
924	5686	461
925	5692	454
926	5697	448
927	5702	442
928	5708	436
929	5713	430
930	5718	423
931	5723	417
932	5728	411
933	5734	405
934	5739	398
935	5744	392
936	5749	386
937	5755	380
